,nombre,categoria,seccion,descripcion,dimensiones,imagen
3444,JAR40,Jarrones y jarras,Adorno  Decoración  Salón  ,Jarrón barro verde,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/JAR40/JAR40-720x540.png
3445,MYS40,Tocadiscos y altavoces,Electrónica  Musica  Sonido  ,Amplificador caja madera Fisher,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MYS40/MYS40-720x540.png
3446,TP40,Tapices y estandartes,Salón  ,Tapiz bordado campesinas,105x0x50 (cm),https://atrezzovazquez.es/admin/img_prod/TP40/TP40-720x540.png
3447,ML40,Librería,Despacho  Español  ,Librería despacho español tallada,125x47x175 (cm),https://atrezzovazquez.es/admin/img_prod/ML40/ML40-1-720x540.png
3448,MED40,Atrezzo medicina,Hospital  Medicina  ,Frascos de laboratorio antiguos cristal caramelo tapón cristal pequeños,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/MED40/MED40-720x540.png
3449,HOS40,Hospitales,Hospital  Medicina  ,Silla tubo blanco tapizada skay blanco,40x40x85 (cm),https://atrezzovazquez.es/admin/img_prod/HOS40/HOS40-1-720x540.png
3450,VAA40,Atrezzo vario,Hotel  ,Llavero de hotel figurado madera pintado verde,0x0x0 (cm),https://atrezzovazquez.es/admin/img_prod/VAA40/VAA40-720x540.png
3451,RAD40,Radios,,Radio antigua capilla caja madera,1x1x1 (cm),https://atrezzovazquez.es/admin/img_prod/RAD40/RAD40-720x540.png
3452,SI40,Sillón,Isabelino  Salón  Tresillo  ,Sillón isabelino capitoné tapizado terciopelo oro,35x70x95 (cm),https://atrezzovazquez.es/admin/img_prod/SI40/SI40-1-720x540.png
3453,MV40,Muebles varios,Japonés  Rinconera  ,Rinconera japonesa 1 puerta pinturas,80x60x112 (cm),https://atrezzovazquez.es/admin/img_prod/MV40/MV40 720x540.png
3454,SIL40,Silla,Comedor  ,Silla nogal respaldo rejilla,45x40x88 (cm),https://atrezzovazquez.es/admin/img_prod/SIL40/SIL40-1-720x540.png
3455,S40,Sofá,Isabelino  Salón  Tresillo  ,Sofá isabelino capitoné tapizado terciopelo oro,270x70x95 (cm),https://atrezzovazquez.es/admin/img_prod/S40/S40-1-720x540.png
3456,TYV40,Televisores y vídeos,Televisor  ,"Televisión portátil caja blanca Elbe 14""",43x28x27 (cm),https://atrezzovazquez.es/admin/img_prod/TYV40/TYV40-720x540.png
3457,PV40,Pie de vela,Medieval  ,Pie de vela para lámpara votivas,51x51x230 (cm),https://atrezzovazquez.es/admin/img_prod/PV40/PV40-720x540.png
